,Location,Number of rooms,Floor number,Area of apartment,Price,Currency,Date,Condition,Document status
161,Elmlər Akademiyası m.,2 otaqlı,10/18 mərtəbə,85 m²,350 000,AZN,2024-11-11,Təmirli,Çıxarış var
162,28 May m.,3 otaqlı,5/12 mərtəbə,110 m²,335 000,AZN,2024-11-07,Təmirli,Çıxarış var
163,Nizami m.,3 otaqlı,14/17 mərtəbə,95 m²,310 000,AZN,2024-10-23,Təmirli,Çıxarış var
164,Elmlər Akademiyası m.,2 otaqlı,9/20 mərtəbə,65 m²,285 000,AZN,2024-11-19,Təmirli,Çıxarış var
165,Nəsimi m.,3 otaqlı,17/22 mərtəbə,100 m²,256 000,AZN,2024-10-23,Təmirli,Müqavilə
166,Elmlər Akademiyası m.,3 otaqlı,12/18 mərtəbə,95 m²,385 000,AZN,2024-11-09,Təmirli,Çıxarış var
167,Elmlər Akademiyası m.,5 otaqlı,9/16 mərtəbə,226 m²,650 000,AZN,2024-11-09,Təmirli,Çıxarış var
168,28 May m.,2 otaqlı,4/18 mərtəbə,114 m²,360 000,AZN,2024-06-05,Təmirli,Çıxarış var
169,İçəri Şəhər m.,2 otaqlı,5/12 mərtəbə,82 m²,350 000,AZN,2024-10-12,Təmirli,Çıxarış var
170,Azadlıq Prospekti m.,3 otaqlı,10/13 mərtəbə,110 m²,253 095,AZN,2024-11-15,Təmirsiz,Müqavilə
171,Nəriman Nərimanov m.,3 otaqlı,8/20 mərtəbə,130 m²,235 000,AZN,2024-10-28,Təmirli,Çıxarış var
172,Elmlər Akademiyası m.,3 otaqlı,10/18 mərtəbə,130 m²,465 000,AZN,2024-11-16,Təmirsiz,Çıxarış var
173,8-ci mikrorayon q.,3 otaqlı,15/17 mərtəbə,103 m²,288 000,AZN,2024-11-22,Təmirli,Çıxarış var
174,Neftçilər m.,2 otaqlı,5/17 mərtəbə,52 m²,137 000,AZN,2024-11-14,Təmirli,Müqavilə
175,Elmlər Akademiyası m.,4 otaqlı,7/18 mərtəbə,190 m²,755 000,AZN,2024-11-07,Təmirli,Çıxarış var
176,Nərimanov r.,3 otaqlı,12/19 mərtəbə,165 m²,462 000,AZN,2023-11-04,Təmirsiz,Müqavilə
177,Nərimanov r.,3 otaqlı,17/18 mərtəbə,94 m²,217 000,AZN,2024-11-13,Təmirli,Çıxarış var
178,Nərimanov r.,4 otaqlı,11/15 mərtəbə,207 m²,589 950,AZN,2023-11-04,Təmirsiz,Müqavilə
179,Nəriman Nərimanov m.,3 otaqlı,8/19 mərtəbə,105 m²,300 000,AZN,2024-03-09,Təmirsiz,Müqavilə
180,Nəriman Nərimanov m.,3 otaqlı,8/19 mərtəbə,137 m²,390 450,AZN,2024-03-09,Təmirsiz,Müqavilə
181,Nəriman Nərimanov m.,4 otaqlı,11/19 mərtəbə,207 m²,589 950,AZN,2024-03-09,Təmirsiz,Çıxarış var
182,Nəriman Nərimanov m.,3 otaqlı,12/19 mərtəbə,153 m²,428 000,AZN,2024-03-09,Təmirsiz,Müqavilə
183,Nərimanov r.,3 otaqlı,14/19 mərtəbə,137 m²,390 450,AZN,2023-11-04,Təmirsiz,Müqavilə
184,Nərimanov r.,5 otaqlı,15/19 mərtəbə,216 m²,670 000,AZN,2024-02-15,Təmirli,Müqavilə
185,Nərimanov r.,3 otaqlı,8/19 mərtəbə,105 m²,300 000,AZN,2023-11-04,Təmirsiz,Müqavilə
186,Memar Əcəmi m.,2 otaqlı,12/18 mərtəbə,57 m²,176 000,AZN,2024-11-13,Təmirli,Çıxarış var
187,Avtovağzal m.,2 otaqlı,9/17 mərtəbə,70 m²,164 000,AZN,2024-11-20,Təmirli,Çıxarış var
188,Nəsimi m.,2 otaqlı,5/17 mərtəbə,65 m²,179 000,AZN,2024-11-04,Təmirli,Çıxarış var
189,Şah İsmayıl Xətai m.,2 otaqlı,8/8 mərtəbə,90 m²,378 000,AZN,2024-03-28,Təmirsiz,Müqavilə
190,Yeni Yasamal q.,3 otaqlı,2/21 mərtəbə,125 m²,230 000,AZN,2024-09-14,Təmirli,Çıxarış var
191,Həzi Aslanov m.,2 otaqlı,6/20 mərtəbə,53 m²,149 000,AZN,2024-10-30,Təmirli,Çıxarış var
192,Qara Qarayev m.,5 otaqlı,3/5 mərtəbə,150 m²,360 000,AZN,2024-11-22,Təmirli,Çıxarış var
193,Nizami m.,3 otaqlı,7/18 mərtəbə,135 m²,330 000,AZN,2024-09-05,Təmirli,Çıxarış var
194,28 May m.,3 otaqlı,6/18 mərtəbə,74 m²,235 000,AZN,2024-11-14,Təmirli,Müqavilə
195,Elmlər Akademiyası m.,10 otaqlı,17/18 mərtəbə,800 m²,1 295 000,AZN,2024-11-22,Təmirsiz,Çıxarış var
196,28 May m.,3 otaqlı,14/18 mərtəbə,173.8 m²,469 260,AZN,2024-05-31,Təmirsiz,Müqavilə
197,Şah İsmayıl Xətai m.,3 otaqlı,8/13 mərtəbə,111.8 m²,413 660,AZN,2023-11-22,Təmirsiz,Çıxarış var
198,28 May m.,3 otaqlı,7/16 mərtəbə,108.8 m²,304 696,AZN,2024-06-21,Təmirli,Müqavilə
199,Yeni Yasamal q.,3 otaqlı,13/16 mərtəbə,128 m²,211 200,AZN,2024-10-20,Təmirsiz,Müqavilə
200,Kubinka q.,3 otaqlı,12/16 mərtəbə,101 m²,345 000,AZN,2024-09-15,Təmirli,Çıxarış var
201,Ağ şəhər q.,3 otaqlı,5/8 mərtəbə,120 m²,420 000,AZN,2024-11-22,Təmirsiz,Müqavilə
202,28 May m.,3 otaqlı,22/22 mərtəbə,140 m²,320 000,AZN,2024-09-01,Təmirsiz,Çıxarış var
203,Ağ şəhər q.,3 otaqlı,2/7 mərtəbə,120 m²,568 000,AZN,2024-09-02,Təmirli,Müqavilə
204,Memar Əcəmi m.,2 otaqlı,12/17 mərtəbə,58 m²,176 000,AZN,2024-10-26,Təmirli,Çıxarış var
205,Elmlər Akademiyası m.,3 otaqlı,6/12 mərtəbə,135 m²,210 000,AZN,2024-11-22,Təmirli,Çıxarış var
206,İnşaatçılar m.,3 otaqlı,8/12 mərtəbə,115 m²,212 000,AZN,2024-11-22,Təmirli,Çıxarış var
207,Nardaran q.,1 otaqlı,4/8 mərtəbə,50 m²,177 000,AZN,2024-11-15,Təmirsiz,Müqavilə
208,Yeni Yasamal q.,3 otaqlı,7/16 mərtəbə,121 m²,219 000,AZN,2024-11-22,Təmirli,Müqavilə
209,Binəqədi r.,2 otaqlı,19/19 mərtəbə,70 m²,197 000,AZN,2024-10-26,Təmirli,Müqavilə
